COM,Nom Commune,P20_SCOL1517,P20_SCOL1824,ETTEF2021,P20_SCOL2529,P20_NSCOL15P_CAPBEP,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_POP1564,P20_ACT1564,P20_ACTOCC1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_DIPLMIN,P20_ACT_SUP34,P20_ACT_SUP5,P20_INACT1564,P20_ETUD1564,P20_RETR1564,P20_AINACT1564,C20_ACT1564_CS2,C20_ACT1564_CS3,C20_ACT1564_CS4,MED20,NBPERSMENFISC20,NTLBIN
19208,Saint-Hilaire-Foissac,6,1,0,0,41,40,12,7,3,0,0,1,1,116.170212765957,87.1276595744681,78.4148936170213,8.71276595744681,0.0,0.0,1.93617021276596,6.77659574468085,5.80851063829787,2.90425531914894,29.0425531914894,5.80851063829787,15.4893617021277,7.74468085106383,0.0,14.5212765957447,14.5212765957447,19130,201,0
19209,Saint-Hilaire-les-Courbes,6,2,0,0,32,37,17,15,3,0,1,5,0,96.3002650942023,80.9253235708646,78.8753313677529,2.0499922031117,0.0,0.0,0.0,6.10060815728777,13.324949320226,1.02499610155585,15.3749415233377,8.19996881244678,4.09998440622339,3.07498830466754,25.3780602786596,0.0,15.3749415233377,18860,146,0
19210,Saint-Hilaire-Luc,1,0,0,0,14,7,7,4,3,0,0,1,0,36.2142857142857,26.9285714285714,24.1428571428571,2.78571428571429,0.928571428571429,0.0,0.0,1.85714285714286,0.0,2.78571428571429,9.28571428571428,0.0,4.64285714285714,4.64285714285714,0.0,0.0,9.28571428571429,s,s,0
19211,Saint-Hilaire-Peyroux,33,12,3,1,211,147,86,72,47,0,0,14,2,605.204651568998,492.115058985464,442.274600123907,49.8404588615572,1.01081576388331,1.01912593586609,2.01338911871277,31.5529917366657,62.0529325213504,39.7226867642327,113.089592583533,34.8693619344535,48.5701097320228,29.650120917057,35.5454355903418,60.9002950222739,152.83384401028,22120,941,0
19212,Saint-Hilaire-Taurieux,8,0,0,0,25,15,2,4,4,0,0,2,0,53.5145631067961,38.368932038835,35.3398058252427,3.02912621359223,0.0,0.0,0.0,1.00970873786408,4.03883495145631,4.03883495145631,15.1456310679612,8.07766990291262,5.04854368932039,2.01941747572816,0.0,5.04854368932039,25.2427184466019,s,s,0
19213,Saint-Jal,30,8,0,0,152,104,62,40,30,0,1,15,3,367.091312801687,280.8439686128,259.386915730254,21.4570528825465,2.99464542436944,2.09003238346232,1.00649445029409,16.2115285769257,30.8392418612467,23.7467144672789,86.247344188886,31.6375332450631,33.1913642848762,21.4184466589467,52.0260486931918,14.9732271218472,94.4083946465996,21350,592,0
19214,Saint-Julien-aux-Bois,4,2,1,0,145,56,26,23,23,0,1,6,2,215.0,169.0,150.0,19.0,1.0,2.0,0.0,8.0,16.0,11.0,46.0,4.0,33.0,9.0,10.0,25.0,20.0,20590,448,0
19215,Saint-Julien-le-Pelerin,5,2,0,0,25,15,6,4,1,0,0,2,0,60.0,44.0,40.0,4.0,1.0,0.0,0.0,6.0,0.0,2.0,16.0,5.0,6.0,5.0,0.0,0.0,5.0,16810,112,0
19216,Saint-Julien-le-Vendomois,11,1,0,1,53,41,16,10,14,0,0,6,0,139.953166075376,109.015067090134,105.117711400058,3.8973556900758,0.0,1.06022857185333,0.0,9.00956441586997,8.50956379309173,10.8140599008723,30.9380989852426,13.1356395052402,10.5821633236556,7.22029615634672,9.45709039407491,32.0926057479699,0.0,18310,245,0
19217,Saint-Julien-Maumont,7,1,0,0,33,21,16,8,9,0,0,3,0,90.4076433121019,61.5541401273885,55.7834394904459,5.77070063694268,0.961783439490446,0.0,0.0,6.73248407643312,5.77070063694268,5.77070063694268,28.8535031847134,6.73248407643312,18.2738853503185,3.84713375796178,4.80891719745223,24.0445859872611,24.0445859872611,23010,170,0
19219,Sainte-Marie-Lapanouze,0,0,0,0,8,6,5,4,5,0,0,1,1,28.0,25.0,21.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,3.0,0.0,5.0,0.0,5.0,s,s,0
19220,Saint-Martial-de-Gimel,13,4,0,0,119,85,36,31,16,0,0,9,0,269.0,214.0,193.0,21.0,1.0,5.0,1.0,9.0,19.0,11.0,55.0,13.0,25.0,17.0,20.0,35.0,25.0,21170,497,0
19221,Saint-Martial-Entraygues,3,0,0,0,21,11,9,4,9,0,0,3,0,51.3714285714286,36.3142857142857,30.1142857142857,6.2,0.885714285714286,0.0,0.885714285714286,0.885714285714286,2.65714285714286,6.2,15.0571428571429,2.65714285714286,7.97142857142857,4.42857142857143,4.42857142857143,4.42857142857143,13.2857142857143,19280,104,0
